BeSS #,Be star,Vmag,Type,Simbad classification,vsini,RA,Dec,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,Tefftemp,Gflux,rpgeo,b_rpgeo,B_rpgeo,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,N_H,Gamma,HR1,HR2,Flux (0.3-1 keV),Flux (1-2 keV),Flux (2-10 keV),X-ray source
43,RX J0048.5-7302,14.84,Be,HMXB,,12.14375,-73.04167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7183,0.499,0.336,9.313733838057515e-15,2.7866840365764904e-14,5.606942579617759e-14,XRT
50,RX J0049.5-7310,16.51,Be,HMXB,,12.37329,-73.1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3845,0.707,0.532,4.552620409763219e-14,2.6523286824115413e-13,8.682409276612138e-13,XRT
52,RX J0049.7-7323,14.98,B2Ve,HMXB,,12.42496,-73.38742,-0.0301,0.53,-1.209,0.09,2.32,14.796638,14.840578,14.654923,,3.019644133440745e-15,,,,13.699,0.018,13.544,0.015,12.848,,9.249,,14.551,0.039,14.482,0.062,14.303,0.072,82.7318,2.022,-0.6401,-0.5422,3.912348955952237e-14,8.586487807743174e-15,2.548962173321205e-15,CXO
60,DZ Tuc,15.44,Be,HMXB,,12.68621,-73.2681,-0.0248,0.679,-1.278,0.064,0.722,15.345635,15.346321,15.291616,,1.821197158996879e-15,,,,,,,,,,,,15.296,0.045,15.299,0.1,14.806,0.113,29.4956,0.8903,-0.7617,-0.2799,3.453389162983519e-13,4.670451880759648e-14,2.6277806880086525e-14,CXO
66,SMC 25,14.45,Be,HMXB,,12.96671,-73.1761,-0.0247,0.643,-1.215,0.11,5.04,14.335338,14.31789,14.295343,,4.618232190848322e-15,18071.3828,13905.2061,22709.0586,13.723,0.028,13.532,0.027,,,,,14.432,0.033,14.448,0.051,14.171,0.072,3.41153e-06,1.0549,-0.6775,0.1365,4.467590218257747e-13,8.588435528901038e-14,1.1304367946207433e-13,CXO
67,2E 0050.1-7247,14.87,Be,HMXB,,12.97154,-72.53014,0.0078,0.641,-1.332,0.282,22.6,14.86245,14.718246,14.968932,,2.8420450918239058e-15,,,,14.538,0.0063,14.4183,0.0163,,,,,14.468,0.032,14.259,0.04,14.258,0.064,30.0127,1.4465,-0.6534,-0.2778,2.635189558867754e-14,5.5235787549237826e-15,3.121551880595277e-15,CXO
69,X SMC X-3,14.91,O9IVe,HMXB,,13.02404,-72.43422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7685,-0.6275,0.4486,3.72795874601545e-15,8.53161604584721e-16,2.241148098275465e-15,CXO
71,2E 0050.4-7335,14.67,Be,HMXB,,13.05829,-73.3219,-0.0646,0.651,-1.192,0.0,0.0,14.569972,14.611802,14.445728,,3.720678666623973e-15,,,,13.553,0.012,13.486,0.01,12.41,0.365,8.978,,14.4,0.032,14.253,0.053,14.107,0.065,,,1.0,0.1418,0.0,6.087356701603823e-16,8.099298477495411e-16,CXO
73,2E 0051.1-7214,15.53,Be,HMXB,,13.23,-71.9683,,,,,,,,,,,,,,14.618,0.014,14.422,0.015,12.893,,9.337,,,,,,,,,0.8793,0.46,0.264,2.1109327674351307e-13,5.707336741583872e-13,9.801730490980995e-13,XRT
82,CXOU J005323.8-722715,16.19,Be,HMXB,,13.34958,-72.4542,0.0096,0.65,-1.323,0.037,0.117,16.185415,16.124111,16.27051,,8.403205109693696e-16,,,,,,,,,,,,16.274,0.107,15.802,0.159,16.502,,26.4723,0.8868,-0.7411,-0.2122,2.0024421076422997e-13,2.9775547766317085e-14,1.9349905373855306e-14,CXO
92,Cl* NGC 330 ELS 065055,14.72,B1IIIe,HMXB,420.0,13.48058,-72.44592,-0.0412,0.678,-1.234,0.104,3.47,14.664824,14.632143,14.606682,,3.4094267491627634e-15,,,,,,,,,,,,,,,,,,,0.7144,-0.2812,0.2221,3.278424327051696e-15,1.839211379313441e-15,2.889145522515471e-15,CXO
117,Cl* NGC 330 ELS 016486,15.58,B1IIIe,HMXB,496.0,13.69342,-72.42299,-0.036,0.699,-1.247,0.096,1.48,15.482405,15.45147,15.366459,,1.6056429034055256e-15,,,,14.454,0.016,14.309,0.017,,,,,15.293,0.059,15.205,0.093,14.84,0.12,95.6722,2.0534,-0.721,-0.5051,2.862733030050614e-14,4.6413161954515e-15,1.526112941231369e-15,CXO
164,2E 0054.4-7237,15.88,Be,HMXB,,14.02171,-72.3667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8699,0.701,2.2200319604703514e-16,3.18965e-15,1.814521059772061e-14,XMM
217,gam Cas,2.47,B0IVpe,Em*,432.0,14.17721,60.71674,,,,2.042,2970.0,2.064583,2.725843,2.315109,,3.739191985160192e-10,,,,1.5133,43.9178,0.534,0.0011,0.362,0.12,-0.287,0.01,2.039,0.238,1.993,0.182,1.756,0.23,,,0.3624,0.6679,1.405802253927273e-11,3.00362e-11,1.5085242236431998e-10,XMM
228,RX J0057.4-7325,15.67,Be,HMXB,,14.3625,-73.4221,0.0293,0.793,-1.286,0.072,0.726,15.625085,15.581367,15.631404,,1.4079167123422515e-15,,,,15.1666,0.0099,15.2014,0.0291,,,,,15.67,0.063,15.575,0.145,15.605,0.24,10.146,0.6985,-0.7502,-0.0495,6.509710546882818e-13,9.292021355742791e-14,8.414929387416124e-14,CXO
238,RX J0058.2-7231,14.9,Be,HMXB,,14.55292,-72.5125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.237,0.749,0.288,1.4231975090787641e-13,9.917021686767959e-13,1.7939780804153278e-12,XRT
248,[HP2004] 39,,Be,HMXB,,15.12579,-72.3431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.053,0.6806,0.7823,9.553717953426755e-16,5.02643e-15,4.11592422882734e-14,XMM
254,RX J0101.0-7206,15.72,B3.5Ve,HMXB,,15.26329,-72.1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324,0.453,4.9086101667057686e-14,9.613905119405971e-14,2.553748471388826e-13,XRT
258,RX J0101.3-7211,15.49,Be,HMXB,,15.33671,-72.1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.886,6.973294988956376e-15,2.7041e-14,4.4716851927825767e-13,XMM
271,RX J0105.5-7221,15.15,Be,HMXB,,16.148,-72.36328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,CXO
287,XTE J0111-7317,15.52,B1IVe,HMXB,,17.785,-73.2794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2531,0.7705,2.0090544238981587e-15,3.37041e-15,2.5996773895458654e-14,XMM
336,ACHERNAR,0.5,B6Vpe,Em*,235.0,24.42854,-57.23675,,,,,,,,,,,,,,,,,,,,,,0.815,0.254,0.865,0.32,0.88,0.33,,,-0.5925,-0.5166,3.4718169995200667e-13,8.88298e-14,2.8309968808502675e-14,XMM
382,V831 Cas,11.34,B1IVe,HMXB,,26.75071,61.35658,0.328,-1.029,-0.082,0.184,65.0,11.215371,11.629826,10.599628,,8.174525711292856e-14,2740.13037,2597.42285,2877.87402,9.155,0.014,8.986,0.009,8.628,0.023,7.802,0.159,9.899,0.027,9.7,0.036,9.486,0.02,,-0.7203,0.7366,0.7765,2.7045282870894346e-13,1.78333e-12,1.4176922465416905e-11,XMM
465,V782 Cas,7.622,B6IIe,Em*,,32.18933,65.03742,1.1826,1.69,-3.572,0.319,110.0,7.489314,7.69611,7.083958,,2.528630454105034e-12,827.184937,803.151489,849.214172,6.0462,0.0004,5.3656,0.0007,4.837,0.015,4.108,0.021,6.661,0.035,6.45,0.024,6.199,0.023,,,0.8926,0.977,4.1753023694376654e-15,7.35669e-14,6.3321945694330746e-12,XMM
512,BD+56 511,9.11,B3IIIe,Em*,,34.69967,57.06725,0.3865,-0.137,-1.015,0.109,17.8,9.020182,9.215045,8.656334,,6.173595407210837e-13,2416.52417,2318.93555,2568.09937,7.784,0.009,7.744,0.007,7.286,0.018,6.584,0.074,8.298,0.043,8.188,0.046,8.095,0.024,,,1.0,-0.3773,0.0,2.034938904077088e-16,9.199846104390343e-17,CXO
516,Cl* NGC 869 LAV 1039,12.37,B3e,Em*,,34.78567,57.06364,,,,,,,,,,,,,,10.3374,0.0007,10.0145,0.0012,,,,,,,,,,,,,1.0,0.0825,0.0,3.767165724668109e-16,4.444912493638677e-16,CXO
520,HD 14162,9.37,Be,Em*,,34.86437,57.13838,,,,,,,,,,,,,,8.4894,0.0003,8.4919,0.0006,,,,,,,,,,,,,1.0,0.0399,0.0,3.046297893209769e-16,3.299742806444064e-16,CXO
536,NGC 884 2079,9.61,Be,Be*,,35.42883,57.30806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0288,-0.2041,1.3460897813649991e-15,1.2706300000000001e-15,8.399124102572742e-16,XMM
597,V615 Cas,10.8,B0Ve,HMXB,,40.13196,61.22934,0.3776,-0.423,-0.256,0.07,8.11,10.402225,10.956625,9.673551,,1.7287053026285213e-13,2473.95679,2406.57007,2544.85718,7.336,0.007,7.287,0.006,6.963,0.017,6.553,0.069,8.621,0.024,8.228,0.021,7.917,0.023,,1.539,-0.7901,-0.5809,2.343021789117042e-12,2.747223776904898e-13,7.28250668359776e-14,CXO
651,HD 237056,8.9,B0.5Vpe,Be*,,45.65783,57.61279,0.8836,-0.434,-0.554,0.193,37.2,8.376163,8.731124,7.748621,,1.1172381683821229e-12,1109.54883,1080.85461,1136.05103,7.156,0.025,6.869,0.017,7.307,0.019,7.095,0.117,7.534,0.035,7.381,0.031,7.288,0.023,,0.9991,0.646,0.295,4.041382635384872e-14,1.8791287621026833e-13,3.451732974358829e-13,XRT
663,HD 19818,9.06,B9.5Vne,Star,,47.10867,-59.37372,3.3128,0.11,17.207,0.233,59.8,9.026817,9.097452,8.857716,,6.135983232292465e-13,,,,8.117,0.012,8.083,0.008,7.878,0.018,7.555,0.104,8.486,0.02,8.232,0.055,8.113,0.029,,2.276,-0.121,-0.365,5.295743279306239e-13,4.152505211873492e-13,1.9317515088202689e-13,XRT
682,GSC 02342-00359,14.25,B5e,**,,52.293,31.36653,,,,,,,,,,,,,,4.875,0.03,4.475,0.013,-1.559,0.307,-2.762,0.001,,,,,,,134.219,3.1725,-0.559,-0.7908,4.170764914976988e-13,1.1799325181269429e-13,1.3782941529386982e-14,CXO
688,BQ Cam,11.3,Be,HMXB,,53.74954,53.17322,0.1343,-0.268,0.44,0.0,0.0,14.200214,15.475269,13.086571,,5.2302851178700315e-15,5883.42285,5484.55127,6301.04053,9.986,0.014,9.76,0.009,9.084,0.029,8.464,0.33,11.817,0.023,11.206,0.03,10.744,0.025,,,-0.1213,-0.7675,1.6545778640005953e-14,1.2964722258650358e-14,1.705092011197809e-15,CXO
695,MEROPE,4.164,B6IVe,Em*,240.0,56.58154,23.94836,,,,,,,,,,,,,,,,,,,,,,4.233,0.24,4.309,0.154,4.22,0.016,87.2032,8.7399,1.0,0.3941,0.0,7.820379821620062e-14,1.7994731859783416e-13,CXO
705,Menkhib,4.06,O7.5IIIe,**,213.0,59.74125,35.79103,2.4457,0.778,2.621,1.328,3190.0,3.974884,3.970395,3.889252,,6.43661249761657e-11,425.826111,376.98407,483.213562,4.0874,0.0002,3.576,0.0004,3.95,0.015,3.761,0.03,3.987,0.27,4.07,0.224,3.953,0.036,,,-0.4921,-0.775,1.5301652115218615e-12,5.20856e-13,6.602037068393352e-14,XMM
745,lam Eri,4.249,B2IVne,Em*,318.0,77.28658,-8.75408,3.6256,1.726,-2.276,1.547,4510.0,4.243453,4.117129,4.385517,,5.0260842494343966e-11,,,,5.333,0.065,4.135,0.051,4.065,0.014,3.653,0.023,4.854,0.204,4.832,0.076,4.713,0.02,,,-0.3936,-0.3454,4.5753629191805746e-14,1.99075e-14,9.685014858276016e-15,XMM
758,RX J0516.0-6916,15.0,Be,HMXB,,79.00042,-69.2692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.062,0.6096,0.9797,2.474442626481436e-16,1.02028e-15,9.95458871133289e-14,XMM
761,[HP99] 946,14.4,O8e,Be*,,80.12871,-69.5319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.337,2.4422024181188622e-12,5.4358698983935966e-12,1.096192768348754e-11,XRT
772,25 Ori,4.873,B1Vpe,Em*,263.0,81.18679,1.84644,2.9321,1.047,0.433,0.823,1470.0,4.64114,4.602082,4.647058,,3.484616302892426e-11,,,,4.3199,0.0002,3.5538,0.0004,,,,,5.369,0.027,5.417,0.027,5.355,0.02,,,-0.9365,0.662,2.196181091847786e-14,7.195945548745236e-16,3.538963422107968e-15,CXO
842,RX J0531.2-6609,14.4,B0.7Ve,HMXB,,82.80542,-66.1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3833,0.9427,8.21730608078769e-14,1.8432e-13,6.246921533646116e-12,XMM
849,RX J0532.4-6535,,Be,HMXB,,83.10542,-65.5858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.849,0.095,-0.488,1.146493010314875e-13,1.387193200325733e-13,4.77313789359392e-14,XRT
855,RX J0535.0-6700,14.873,B0Ve,HMXB,,83.77458,-67.0044,-0.0051,1.609,0.565,0.078,1.66,14.782597,14.740006,14.810704,,3.058948491712993e-15,,,,,,,,,,,,,,,,,,,,0.8481,0.9628,2.0952628006683347e-15,2.54901e-14,1.3467153753646555e-12,XMM
856,V1230 Ori,9.736,B8IVve,V*,,83.83629,-5.36233,2.4554,3.064,-1.425,0.22,70.1,9.460669,9.694418,8.97233,,4.1147491496280827e-13,,,,,,,,,,,,8.067,0.026,7.604,0.034,7.38,0.023,58.3731,2.6386,-0.5017,-0.4003,9.55425319522357e-13,3.1699638361913614e-13,1.357441409828783e-13,CXO
857,43 Ori,5.08,O9.5Vpe,**,183.0,83.84542,-5.41606,2.9728,1.089,2.394,1.433,4570.0,5.001814,4.963159,4.967601,,2.499685460649313e-11,,,,,,,,,,,,4.912,0.037,4.923,0.063,4.837,0.021,24.6861,3.9653,-0.3197,0.3832,3.999014483461901e-13,2.0617034076939753e-13,4.623616173115115e-13,CXO
858,RX J0535.6-6651,13.8,BIIIe,HMXB,,83.92158,-66.86456,-0.1045,1.122,0.505,0.0,0.0,18.529274,,,,9.702895725429507e-17,,,,,,,,,,,,,,,,,,,,-0.36,0.638,7.469579308477023e-14,3.515096145165658e-14,1.5905324546357314e-13,XRT
892,V725 Tau,9.19,O9.7IIe,HMXB,,84.72738,26.31579,0.5245,-0.59,-2.88,0.123,25.2,8.601999,8.987547,8.010447,,9.074263038714267e-13,,,,6.829,0.019,6.631,0.014,6.173,0.014,5.211,0.036,8.368,0.021,8.272,0.026,8.157,0.027,,0.4891,0.7249,0.7739,3.7084511707581576e-13,2.32523e-12,1.8241440457760488e-11,XMM
892,V725 Tau,9.19,O9.7IIe,HMXB,,84.72738,26.31579,0.5245,-0.59,-2.88,0.123,25.2,8.601999,8.987547,8.010447,,9.074263038714267e-13,,,,6.829,0.019,6.631,0.014,6.173,0.014,5.211,0.036,8.368,0.021,8.272,0.026,8.157,0.027,32.637,0.561,-0.8027,-0.4095,2.5639648325361165e-12,2.8069608383873227e-13,1.17607567048027e-13,CXO
914,AX J0544.1-7100,15.235,Be,HMXB,,86.02158,-71.01406,0.0382,1.979,0.776,0.0,0.0,15.307679,15.332313,15.240456,,1.8859899065693628e-15,,,,14.4113,0.0052,14.2783,0.0121,,,,,15.133,0.063,15.025,0.088,15.168,0.193,,3.604,0.906,-0.07,4.4858405451134534e-15,9.09575753083643e-14,7.905658414652223e-14,XRT
926,V1167 Tau,8.48,B1Vnne,Be*,,88.37958,25.74224,0.8878,-0.813,-3.655,0.166,34.3,8.266228,8.384643,7.979243,,1.2362883141486647e-12,,,,6.889,0.018,6.539,0.009,5.878,0.015,5.158,0.033,7.521,0.02,7.361,0.029,,,,,-0.294,0.597,1.7903438025282882e-13,9.768027237905499e-14,3.8708534736811623e-13,XRT
942,HD 42054,5.843,B4IVe,Em*,,91.76529,-34.31202,3.4337,2.009,-0.203,0.463,321.0,5.763813,5.708571,5.801548,,1.2390412473197722e-11,,,,5.7346,0.0003,5.0967,0.0006,4.985,0.014,4.239,0.022,5.866,0.02,5.838,0.031,5.699,0.02,,,0.094,0.4259,5.987749688448144e-13,7.22985e-13,1.7955743906069198e-12,XMM
972,PZ Gem,6.64,O9pe,Em*,,96.81575,14.88923,1.1281,-0.715,-0.519,0.268,81.9,6.552404,6.675784,6.314524,,5.993070190415995e-12,855.646912,832.862732,884.268982,5.43,0.029,4.99,0.034,4.253,0.014,3.635,0.023,5.906,0.023,5.761,0.021,5.534,0.017,,,0.2592,0.5855,2.52038520373215e-14,4.28366e-14,1.638720258448175e-13,XMM
985,Cl* NGC 2244 PS 26,11.41,B7Ve,Em*,,97.87396,4.91374,0.6626,-2.091,0.037,0.086,8.51,12.281327,12.460751,11.9376,,3.062528677712454e-14,,,,8.091,0.013,6.997,0.009,3.858,0.013,2.106,0.019,11.449,0.024,10.887,0.025,9.69,0.021,,,-0.4808,0.3024,2.8605157910097603e-15,1.0028865055856244e-15,1.8725022010645066e-15,CXO
987,Cl* NGC 2244 JOHN 33,12.006,B6Vne,YSO,,98.0645,4.92228,0.6008,-1.731,0.193,0.127,18.3,11.884101,12.065364,11.553444,,4.415405193658796e-14,,,,10.695,0.011,10.846,0.008,10.479,0.227,7.8,,11.148,0.021,10.998,0.021,10.958,0.023,,,-0.4165,-0.1186,5.218105588926315e-15,2.149672066154979e-15,1.6939928885497534e-15,CXO
990,HD 259440,9.12,B0pe,HMXB,,98.24688,5.80033,0.5404,-0.026,-0.428,0.102,10.6,8.879788,9.236007,8.30983,,7.025799698589425e-13,,,,6.714,0.022,6.097,0.011,5.34,0.015,4.529,0.032,7.64,0.023,7.39,0.049,6.966,0.02,,1.447,0.6298,0.7479,1.3377666854818753e-14,5.88913e-14,4.084009556265083e-13,XMM
1001,15 Mon,4.64,B1Ve,Em*,70.0,100.24442,9.89576,-1.3292,0.903,-6.446,5.228,37400.0,4.543516,4.513306,4.873792,,3.812453577240965e-11,4215.17432,2387.38159,5894.33203,6.187,0.034,5.101,0.016,5.564,0.018,5.336,0.212,5.202,0.023,5.322,0.021,5.34,0.021,26.1717,6.2549,-0.0831,0.7435,2.0690381304054093e-13,1.7516676382137584e-13,1.1908007845046598e-12,CXO
1046,19 Mon,4.99,B1Ve,V*,270.0,105.72825,-4.23923,2.6167,-4.02,2.267,0.783,706.0,4.92408,4.826459,5.088899,,2.6852143792401305e-11,370.09552,350.739471,389.366364,5.765,0.028,5.372,0.017,,,,,5.389,0.029,5.476,0.026,5.498,0.02,,,-0.7639,-0.0352,2.716280893704057e-14,3.63651e-15,3.3889548646346883e-15,XMM
1080,HD 57682,6.403,O9Ve,*,,110.50854,-8.97938,0.8968,9.659,13.159,0.516,427.0,6.374717,6.26368,6.542042,,7.058690893358441e-12,,,,7.12,0.017,7.028,0.008,6.943,0.015,5.269,0.063,6.811,0.029,6.966,0.065,6.939,0.024,,,-0.1638,-0.4096,2.349337418957162e-13,1.68816e-13,7.071384140194083e-14,XMM
1116,BN Gem,6.921,O8Vpev,Em*,362.0,114.27388,16.90425,0.5227,-1.076,-1.876,0.386,123.0,6.69375,6.619261,6.749847,,5.261516832900495e-12,,,,6.747,0.023,6.518,0.012,6.22,0.015,5.572,0.044,7.044,0.032,7.071,0.027,6.965,0.021,,,-0.4016,0.309,2.543349467753556e-14,1.08578e-14,2.056774880178405e-14,XMM
1143,V392 Pup,5.87,B7Ve,Em*,,116.54392,-37.93367,5.0296,-17.898,16.9,0.837,884.0,5.846953,5.786695,5.922387,,1.1477036535374964e-11,,,,6.14,0.021,6.086,0.009,6.196,0.015,6.106,0.05,6.03,0.019,6.1,0.04,6.107,0.018,,,-0.6528,-0.8901,2.5661252180433387e-14,5.39037e-15,3.135056203804654e-16,XMM
1161,CD-29 5159,10.71,B0Ve,Em*,,118.92704,-29.56488,0.2854,-2.654,2.892,0.107,20.4,9.938587,10.271199,9.411093,,2.649574675454885e-13,,,,8.126,0.014,7.833,0.009,8.053,0.02,7.261,0.125,9.694,0.022,9.516,0.024,9.309,0.021,,1.224,0.773,0.315,2.1571468420192387e-13,1.6848552206608412e-12,3.2344300951372346e-12,XRT
1168,V374 Car,5.81,B2IVnpe,Em*,200.0,119.71062,-60.82446,2.4707,-4.661,11.226,0.5,303.0,5.805288,5.74743,5.84821,,1.192602633869822e-11,,,,5.9516,0.0003,5.3951,0.0007,4.782,0.015,3.848,0.02,5.558,0.023,5.495,0.023,5.359,0.018,,,0.2166,0.468,2.4310955251343565e-14,3.77507e-14,1.0415655837066009e-13,XMM
1270,QR Vel,10.1,B2Vne,Em*,,140.49342,-51.17651,0.4966,-4.698,2.691,0.153,24.2,10.047013,10.232986,9.69089,,2.397760293910993e-13,,,,8.491,0.012,8.195,0.008,7.34,0.017,6.516,0.078,9.054,0.03,8.859,0.055,8.609,0.021,,,-0.413,0.637,1.1703141828386544e-13,4.8618147581478415e-14,2.1925043413465614e-13,XRT
1330,HD 90563,9.86,B2Ve,Em*,,156.46858,-58.78531,0.3977,-7.184,3.173,0.099,11.9,9.979592,10.258067,9.497045,,2.551374227089002e-13,,,,7.723,0.014,7.33,0.008,6.401,0.018,5.519,0.039,8.827,0.029,8.57,0.029,8.194,0.021,,,0.956,0.8749,2.305769800981831e-16,1.02619e-14,1.5380908363696855e-13,XMM
1373,HD 303296,9.5,B1Ve,*,,160.60433,-59.1568,0.5331,-7.448,2.875,0.344,130.0,9.559617,9.568877,9.473685,,3.756333679152626e-13,,,,9.508,0.014,9.58,0.008,8.958,,3.747,0.049,9.406,0.022,9.445,0.023,9.487,0.025,,,1.0,0.5825,0.0,7.11032334832638e-16,2.694971944553906e-15,CXO
